topic_index,runner,topic,generated_topic,generation_success,evaluation_success,pipeline_success,generation_time_minutes,evaluation_time_minutes,generation_tokens,generation_tokens_k,element_layout,attractiveness,logic_flow,visual_consistency,accuracy_depth,aesthetics_average,teachquiz_gain,output_dir,final_video_path,evaluation_path,error
0,mas,Relationship between integrals and derivatives,The Fundamental Bridge: The Relationship Between Integrals and Derivatives,True,True,True,4.025654967625936,1.60827241341273,272075,272.075,92.5,82.5,85.0,100.0,75.0,87.0,20.000000000000007,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/0-The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives/The_Fundamental_Bridge_The_Relationship_Between_Integrals_and_Derivatives_eval.json,
1,mas,Abstract vector spaces,Introduction to Abstract Vector Spaces,True,True,True,5.423535732428233,1.7951603213946024,478550,478.55,97.5,87.5,95.0,100.0,82.5,92.5,0.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/1-Introduction_to_Abstract_Vector_Spaces,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/1-Introduction_to_Abstract_Vector_Spaces/Introduction_to_Abstract_Vector_Spaces.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/1-Introduction_to_Abstract_Vector_Spaces/Introduction_to_Abstract_Vector_Spaces_eval.json,
2,mas,Neural network learning and intuitive backpropagation,Neural Network Learning: The Intuition Behind Backpropagation,True,True,True,4.584488352139791,1.5265650391578673,309806,309.806,97.5,90.0,100.0,97.5,95.0,96.0,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/2-Neural_Network_Learning_The_Intuition_Behind_Backpropagation,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/2-Neural_Network_Learning_The_Intuition_Behind_Backpropagation/Neural_Network_Learning_The_Intuition_Behind_Backpropagation.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/2-Neural_Network_Learning_The_Intuition_Behind_Backpropagation/Neural_Network_Learning_The_Intuition_Behind_Backpropagation_eval.json,
3,mas,Attention mechanism in transformers and large language models,The Attention Mechanism: How Transformers Read,True,True,True,4.039127711455027,1.5836524844169617,357686,357.686,97.5,92.5,100.0,100.0,95.0,97.0,100.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/3-The_Attention_Mechanism_How_Transformers_Read,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/3-The_Attention_Mechanism_How_Transformers_Read/The_Attention_Mechanism_How_Transformers_Read_eval.json,
4,mas,Change of basis,Change of Basis in Linear Algebra,True,True,True,4.494312214851379,1.9846547444661458,315211,315.211,90.0,82.5,95.0,87.5,70.0,85.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/4-Change_of_Basis_in_Linear_Algebra,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/4-Change_of_Basis_in_Linear_Algebra/Change_of_Basis_in_Linear_Algebra_eval.json,
5,mas,Transformational view of derivatives,The Transformational View of Derivatives: From Static to Dynamic,True,True,True,5.096910373369853,1.6763851523399353,314114,314.114,97.5,92.5,100.0,100.0,95.0,97.0,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/5-The_Transformational_View_of_Derivatives_From_Static_to_Dynamic,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/5-The_Transformational_View_of_Derivatives_From_Static_to_Dynamic/The_Transformational_View_of_Derivatives_From_Static_to_Dynamic.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/5-The_Transformational_View_of_Derivatives_From_Static_to_Dynamic/The_Transformational_View_of_Derivatives_From_Static_to_Dynamic_eval.json,
6,mas,Moser's circle problem,Moser's Circle Problem: The Deceptive Pattern,True,True,True,6.325723600387573,2.1951127449671426,439119,439.119,97.5,92.5,100.0,100.0,95.0,97.0,60.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/6-Mosers_Circle_Problem_The_Deceptive_Pattern,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/6-Mosers_Circle_Problem_The_Deceptive_Pattern/Mosers_Circle_Problem_The_Deceptive_Pattern.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/6-Mosers_Circle_Problem_The_Deceptive_Pattern/Mosers_Circle_Problem_The_Deceptive_Pattern_eval.json,
7,mas,Instantaneous rate of change and the derivative,From Average Speed to Instantaneous Rate: Understanding the Derivative,True,True,True,4.236771949132284,1.4253360668818156,311498,311.498,100.0,97.5,100.0,100.0,100.0,99.5,40.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/7-From_Average_Speed_to_Instantaneous_Rate_Understanding_the_Derivative,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/7-From_Average_Speed_to_Instantaneous_Rate_Understanding_the_Derivative/From_Average_Speed_to_Instantaneous_Rate_Understanding_the_Derivative.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/7-From_Average_Speed_to_Instantaneous_Rate_Understanding_the_Derivative/From_Average_Speed_to_Instantaneous_Rate_Understanding_the_Derivative_eval.json,
8,mas,Superposition and quantum states in quantum mechanics,The Magic of Quantum Superposition: Bridging Classical and Quantum Realities,True,True,True,4.935597042242686,1.4421579718589783,316937,316.937,92.5,85.0,97.5,95.0,92.5,92.5,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/8-The_Magic_of_Quantum_Superposition_Bridging_Classical_and_Quantum_Realities,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/8-The_Magic_of_Quantum_Superposition_Bridging_Classical_and_Quantum_Realities/The_Magic_of_Quantum_Superposition_Bridging_Classical_and_Quantum_Realities.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/8-The_Magic_of_Quantum_Superposition_Bridging_Classical_and_Quantum_Realities/The_Magic_of_Quantum_Superposition_Bridging_Classical_and_Quantum_Realities_eval.json,
9,mas,The Brachistochrone Problem,The Brachistochrone Problem: The Race of Curves,True,True,True,11.127647157510122,1.4649441997210184,547483,547.483,95.0,87.5,100.0,100.0,97.5,96.0,80.0,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/9-The_Brachistochrone_Problem_The_Race_of_Curves,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/9-The_Brachistochrone_Problem_The_Race_of_Curves/The_Brachistochrone_Problem_The_Race_of_Curves.mp4,/scratch/pawsey1357/jthen/Code2Video/mas_logs/pipeline_20260808_143634/9-The_Brachistochrone_Problem_The_Race_of_Curves/The_Brachistochrone_Problem_The_Race_of_Curves_eval.json,
